Mandarin	Vietnamese
若泽·穆里尼奥	José Mourinho
泪	lệ
泪	thớt
桌面区域	khu vực bàn làm việc
桌面	Bàn làm việc
桌面模式	hình mẫu bàn làm việc
吸血鬼	ma cà rồng
科索沃	Kosovo
基切文	Tiếng Kʼicheʼ
星期一	thứ hai
星期五	thứ sáu
属性页	trang tính chất
属性表	bảng tính chất
属性名	tên đặc tính
蝶泳	bơi bướm
乔治·布尔	George Boole
金章宗	Kim Chương Tông
雌	thư
休息日	ngày nghỉ
卢湾区	Lô Loan
山矾科	Họ Dung
默克尔	Merkel
恋	luyến
证书	thư
缝针	cái kim
名	tên
鼻	mũi
号码	số
新	mới
油	dầu
旧	cũ nát
四月	4
牙齿	răng
莱斯特	Leicester
硬碟	ổ đĩa cứng
韩国	Hàn Quốc
催泪瓦斯	hơi cay
传道	giảng đạo
讲道	giảng đạo
神圣	linh thiêng
天堂	thiên đường
诅咒	nguyền rủa
赐福	ban phúc
保佑	ban phúc
金瓶梅	Kim Bình Mai
意大利粉	spaghetti
藏语	Tiếng Tây Tạng
泰语	Tiếng Thái Lan
忘掉	không nhớ
忘掉	quên
忘	không nhớ
忘	quên
忘记	không nhớ
忘记	quên
慌	hoảng
計算機	Máy tính tay
竹笋	măng
三K党	Ku Klux Klan
诺顿一世	Joshua A. Norton
元古宙	Liên đại Nguyên Sinh
卑贱	khiêm tốn
卑贱	khúm núm
镤	protactini
中科雷姆斯克	Srednekolymsk
罗斯托克	Rostock
管	quản
双子座	Song Tử
第比利斯	Tbilisi
柴可夫斯基	Tchaikovsky
出生日期	ngày tháng năm sinh
金枣	trái chà là
枣儿	trái chà là
地球	trái đất
𣻕	mà
雉	trĩ
泗	tứa
索恩-卢瓦尔省	Saône-et-Loire
Windows Live	Windows Live
管治	chính phủ
毕达哥拉斯	Pytago
堇菜科	Họ Hoa tím
菊芋	cúc vu
洋姜	cúc vu
耶路撒冷	Giê-ru-da-lem
耶路撒冷	Jerusalem
洮	rệu
当铺	tiệm cầm đồ
掉	rơi
滴	chảy nhỏ giọt
沉	trầm
沉	chìm
接	tiếp
谢尔盖·拉赫玛尼诺夫	Sergei Vasilievich Rachmaninoff
硫	lưu huỳnh
公分	xentimét
厘米	xentimét
公寸	đêximet
分米	đêximet
籵	đêximet
日本海	Biển Nhật Bản
赫尔曼·戈林	Hermann Göring
宣	tuyên
室	thất
客	khách
客	khách
维利奇卡盐矿	Mỏ muối Wieliczka
尼散	ni-san
捕获设备	thiết bị ghi thu
CAPS LOCK 鍵	phím CAPS LOCK
字幕	Đoạn thuyết minh
CAPS LOCK	CAPSLOCK
恋爱	ái tình
爱	ái tình
喜爱	ái tình
热爱	ái tình
冈瓦那大陆	Gondwana
对重音进行排序	Sắp xếp dấu trọng âm
对重音/大小写/长度/假名进行排序	Sắp xếp dấu trọng âm/chữ cái/độ rộng/chữ Kana
巴厘文数字	Chữ số Bali
对重音/大小写/长度进行排序	Sắp xếp dấu trọng âm/chữ cái/độ rộng
对数字进行单独排序	Sắp xếp từng chữ số
只对基本字母进行排序	Chỉ sắp xếp chữ cái cơ sở
灰尘	bụi
尘土	bụi
灰	bụi
周恩来	Chu Ân Lai
天蝎座	Thiên Hạt
忤	ngỗ
威廉·康拉德·伦琴	Wilhelm Röntgen
幯	khăn chùi
幯	khăn lau
抆	khăn chùi
抆	khăn lau
拭	khăn chùi
拭	khăn lau
揩	khăn chùi
揩	khăn lau
搌	khăn chùi
搌	khăn lau
搵	khăn chùi
搵	khăn lau
擦掉	khăn chùi
擦掉	khăn lau
葡萄	nho
糊	hồ
短吻鳄	cá sấu
美洲鳄	cá sấu
山	sơn
山	núi
上比利牛斯省	Hautes-Pyrénées
碧	bích
碧	cời
春武里府	Tỉnh Chon Buri
李萍	Lí Bình
开尔文	kenvin
开尔文	kelvin
循环系统	Hệ tuần hoàn
吹	xuy
距	cựa
跟	ngấn
距	cựa
罗马	Roma
羽毛笔	bút máy
羽茎	bút máy
翮	bút máy
鹅毛笔	bút máy
第三次中东战争	Xung đột Ả Rập-Israel
寨	trại
寨	trại
不同	khác
不同	khác biệt
城市	tinh
城市	thành phố
城	tinh
城	thành phố
李俊	Lý Tuấn
伏尔加格勒标准时间	Giờ Chuẩn Volgograd
可可树	cacao
可可豆	cacao
Visual FoxPro	Visual FoxPro
症	chứng
痊	thuyên
痊	thuyên
海参崴夏令时间	Giờ mùa hè Vladivostok
分米	đêximet
公寸	đêximet
毫米	milimet
蛋白石	opan
公民社会	xã hội dân sự
慈禧太后	Thái hậu Từ Hi
和	và
菲律宾标准时间	Giờ Chuẩn Philippin
中国时间	Giờ Trung Quốc
智利夏令时间	Giờ Mùa Hè Chile
中国夏令时间	Giờ Mùa Hè Trung Quốc
查坦夏令时间	Giờ Mùa Hè Chatham
查坦标准时间	Giờ Chuẩn Chatham
邮票	tem
奇怪	kỳ quái
不可思议	kỳ quái
懊	ảo
懊	ảo
卢卡斯·格拉贝尔	Lucas Grabeel
汉语拼音	Bính âm Hán ngữ
哈尔滨	Cáp Nhĩ Tân
花荵科	Họ Lá thang
ATM	phương thức truyền dị bộ
@ 記號	dấu a còng
ATM	ATM
路易斯·菲戈	Luís Figo
中秋节	Tết Trung Thu
䢦	suốt
畚箕	xẻng hót rác
簸箕	xẻng hót rác
铲	xẻng hót rác
垃圾铲	xẻng hót rác
安乐死	an tử
鱼露	mắm
鱼露	nước mắm
奥克兰	Oakland
做爱	yêu
爱	yêu
爱慕	yêu
疼爱	yêu
爱	yêu
爱好	yêu
爱戴	yêu
热爱	yêu
喜欢	yêu
爱好	yêu
法语	tiếng Pháp
法语	Pháp ngữ
法国人	người Pháp
跪	quỳ
瓢	bầu
癸丑	Quý Sửu
乙丑	Ất Sửu
丑	sửu
己丑	Kỷ Sửu
辛丑	Tân Sửu
熄	tắt
剪贴画	Hình Mẫu
朔	sóc
清洁发展机制	Cơ chế phát triển sạch
法国 Hoat-kok	Pháp
法兰西	Pháp
格林纳达	Grenada
巨爵座	Cự Tước
隧道	hầm
门	cửa
揳	khế
援	viện
宣武区	Tuyên Vũ
甲苯	toluen
绘画	nghề sơn
外孙女	cháu
孙女	cháu
圣诞岛	Đảo Giáng Sinh
奇遇	phiêu lưu
字节	byte
位元组	byte
勘	khám
勘	khám
预兆	điềm
割礼	sự cắt bao quy đầu
菠菜	rau bina
脊髓	tuỷ sống
谢尔盖·邦达尔丘克	Sergei Fedorovich Bondarchuk
啒	quắt
啐	chót
陈旧的	cũ
陈旧的	cổ
白昼	ban ngày
白天	ban ngày
洗钱	rửa tiền
洗黑钱	rửa tiền
汗滴	giọt mồ hôi
仕	sĩ
仔	tử
仕	sĩ
规则	quy tắc
神召会	Hội chúng của Ðức Chúa Trời
免治肉	thịt băm
免治肉	thịt vằm
肉馅	thịt băm
肉馅	thịt vằm
碎肉	thịt băm
碎肉	thịt vằm
醢	thịt băm
醢	thịt vằm
乔治·阿玛尼	Giorgio Armani
象	voi
象	danh từ
候选人	ứng cử viên
候补	ứng cử viên
累死了	mặt kiệt sức
害怕	mặt sợ hãi
痛啊	mặt đau khổ
放声大哭	mặt khóc to
傲慢	mặt có nước mũi
直肠	ruột thẳng
直肠	trực tràng
耒	lồi
姜	gừng
前进吧,新加坡	Majulah Singapura
敌手	đối thủ
对手	đối thủ
冬月	11
1月	Tout
气	khí tê
气	khí
气	chất khí
气体	khí tê
气体	khí
气体	chất khí
约翰斯顿环礁	Đảo Johnston
金边	Nam Vang
金边	Phnôm Pênh
飢荧	nạn đói kém sự khan hiếm
饥荧	nạn đói kém sự khan hiếm
李子	vật tốt nhất
第九	thứ chín
四月	tháng tư
斯洛伐克	Slovakia
是	thị
究竟	thực sự
其实	thực sự
樱桃	quả anh đào
恶魔	ma
恶魔	ma quỷ
恶魔	quỷ
车辆	xe cộ
车辆	xe
萨拉热窝事件	Vụ ám sát thái tử Áo-Hung
劾	hạch
机场	sân bay
海卫一	Triton
教士	linh mục
神父	linh mục
牧师	linh mục
祭司	linh mục
AH-64阿帕契	AH-64 Apache
菩提达摩	Bồ-đề-đạt-ma
扇	phiến
本周四	Thứ Năm tuần này
楝科	Họ Xoan
张勉	Trương Miễn
山猪	lợn rừng
野猪	lợn rừng
锌	kẽm
壳斗目	Bộ Dẻ gai
舟山市	Chu San
四大名著	Bốn tác phẩm lớn của văn học cổ điển Trung Quốc
嵩	tung
萍乡市	Bình Hương
植物	thực vật
新西兰	New Zealand
新西兰	Tân Tây Lan
纽西兰	New Zealand
纽西兰	Tân Tây Lan
纽约	New York
纽约	Thành phố New York
纽约市	New York
纽约市	Thành phố New York
中文字	chữ Tàu
中文字	chữ Trung Quốc
中文字	chữ Hán
中文字	Hán tự
分钟	phút
不一样的	khác nhau
立场	quan điểm
姿态	quan điểm
态度	quan điểm
文莱	Brunei
伊朗	Iran
柏林	Berlin
蒲隆地	Burundi
明斯克市	Minsk
阿富汗	Afghanistan
巴基斯坦	Pakistan
天王星	Sao Thiên Vương
巴拉圭	Pa-ra-goay
巴拉圭	Paraguay
卡塔尔	Ca-ta
卡塔尔	Qatar
罗马尼亚	Ru-ma-ni
比利时	nước Bỉ
澳门	Ma Cao
乔巴山	Choibalsan
索马里	Somalia
文具	văn phòng phẩm
哈特谢普苏特	Hatshepsut
阻抗	trở kháng
鹄	thiên nga
反对派分子	người phản đối
反对派	người phản đối
午饭	bữa ăn trưa
气功	khí công
安培	ămpe
安培	ampe
天狼星	Thiên Lang
天狼星	Sirius
旅	lữ
旅	lữ
旅	lữ
田鸡	nhái
田鸡	ngoé
田鸡	ếch
青蛙	nhái
青蛙	ngoé
青蛙	ếch
经理	quản đốc
导演	quản đốc
指挥	quản đốc
指挥者	quản đốc
曼联足球俱乐部	Manchester United
會議	họp
会议	họp
冰球	khúc côn cầu
曲棍球	khúc côn cầu
罗姆人	Người Di-gan
域控制器	bộ kiểm soát miền
域	miền
DOM	Mô hình Đối tượng Tài liệu
文件物件模型 (DOM)	Mô hình Đối tượng Tài liệu
網域	miền
泄	tướt
泄	tướt
泄	tướt
德语	tiếng Ðức
戊午	Mậu Ngọ
若阿尚·缪拉	Joachim Murat
仿	nhái
仿制	nhái
仿效	nhái
摹	nhái
模	nhái
模仿	nhái
照搬	nhái
可口可乐	Coca-Cola
沙翁	bánh rán
甜甜圈	bánh rán
多拿滋	bánh rán
油炸圈饼	bánh rán
炸面圈	bánh rán
手枪	súng ngắn
马尔代夫时间	Giờ Maldives
马克萨斯群岛时间	Giờ Marquesas
UTC+6	UTC+6
UTC+1	UTC+1
UTC+8	UTC+8
圣安娜	Santa Ana
希腊语	Tiếng Hy Lạp
希腊语	Tiếng Hy-lạp
合金	hợp kim
主教	giám mục
找到	tìm
伦敦	London
利伯维尔	Libreville
巴黎	Paris
危地马拉	Guatemala
赫德岛和麦克唐纳群岛	Quần đảo Heard và McDonald
洪都拉斯	Honduras
帝喾	Vua Khốc
㦆	hú
㦆	hú
㦆	hú
㦆	hú
四月	tháng tư
武装党卫队	Waffen-SS
斯德哥尔摩	Stockholm
鸡	Gà
瓜达尔卡纳尔	Guadalcanal
马埃岛	Mahe
基加利	Kigali
亿	trăm triệu
一亿	trăm triệu
马	Ngựa
銪	europi
波城	Pau
汤匙	muỗng canh
大汤匙	muỗng canh
黄南藏族自治州	Hoàng Nam
設定	cấu hình
配置	cấu hình
配置集	tập cấu hình
木瓜	đu đủ
纸	giấy
弓	cung
弓	cung
杣	sơn
7	7
农民	mu-gích
压力	áp lực
买	mua
鸭	vịt
顺德区	Thuận Đức
冬至	Đông chí
牙垢	vôi răng
大寫	chữ hoa
上載	nạp lên
上載	tải lên
田纳西	Tennessee
田纳西州	Tennessee
巴拿马	Pa-na-ma
巴拿马	Panama
巴拿马城	Pa-na-ma
巴拿马城	Panama
北京	Bắc Kinh
二十一	hai mười mốt
汗	mồ hôi
汗水	mồ hôi
游戏操控杆	cần điều khiển
骰子	trò xúc xắc
扑克黑桃	bộ bích
正中靶心的飞镖	ném phi tiêu
游戏手柄	trò chơi điện tử
扑克梅花	bộ nhép
弧秒	giây
6	6
3	3
潘切市	Phan Thiết
越南语	Tiếng Việt
会议	hội nghị
光年	năm ánh sáng
第戎	Dijon
艚	tàu
蛋	trứng
下周六	Thứ Bảy tuần sau
答应	trả lời
回答	trả lời
憔	tiều
丑	sửu
丑	sửu
生物	sinh vật
丁卯	Đinh Mão
戊辰	Mậu Thìn
美因茨	Mainz
戛纳	Cannes
西贡	Sài Gòn
地毯	thảm
马里共和国	Mali
光年	năm ánh sáng
伏羲	Phục Hy
巾	cân
集	tập hợp
集合	tập hợp
阿育王	A-dục vương
三明治	bánh xăng-duýt
三明治	xăng-duýt
三文治	bánh xăng-duýt
三文治	xăng-duýt
吉尔吉斯	Cư-rơ-gư-xtan
吉尔吉斯	Kyrgyzstan
吉尔吉斯坦	Cư-rơ-gư-xtan
吉尔吉斯坦	Kyrgyzstan
吉尔吉斯斯坦	Cư-rơ-gư-xtan
吉尔吉斯斯坦	Kyrgyzstan
外蒙古	Mông Cổ
蒙古	Mông Cổ
柬埔寨	Campuchia
柬埔寨	Căm Bốt
柬埔寨	nước Campuchia
高棉	Campuchia
高棉	Căm Bốt
高棉	nước Campuchia
美国网球公开赛	Giải quần vợt Mỹ Mở rộng
橙树	cây cam
橙黄色	màu cam
橙色	màu cam
王后	hoàng-hậu
王后	nữ-hoàng
后	hoàng-hậu
后	nữ-hoàng
女王	hoàng-hậu
女王	nữ-hoàng
马达加斯加	Ma-đa-gát-xca
喜庆	vui
快乐	vui
十	mười
阴阳	âm dương
黄昏	màn đêm buông xuống
黄昏	chạng vạng
薄暮	màn đêm buông xuống
薄暮	chạng vạng
离开	rời khỏi
离开	ra đi
出发	rời khỏi
出发	ra đi
百货店	hiệu bách hóa
百货店	cửa hàng bách hóa
百货商店	hiệu bách hóa
百货商店	cửa hàng bách hóa
百货公司	hiệu bách hóa
百货公司	cửa hàng bách hóa
格陵兰	Greenland
国际足球联合会	FIFA
摩洛哥	Ma-rốc
摩洛哥	Maroc
尊严	nhân phẩm
个性化	cá nhân hoá
个人身份信息	thông tin định danh cá nhân
可可树	cacao
肯伊·威斯特	Kanye West
朝鲜	Triều Tiên
莱索托	Lesotho
科威特	Cô-oét
科威特	Kuwait
叩头	khấu đầu
叩头	khúm núm
叩头	quỳ lạy
磕头	khấu đầu
磕头	khúm núm
磕头	quỳ lạy
诺福克岛	Đảo Norfolk
伏特加	vodka
布韦岛	Đảo Bouvet
因	nhân
因	nhân
岛	hòn đảo
岛	đảo
岛屿	hòn đảo
岛屿	đảo
海岛	hòn đảo
海岛	đảo
坻	hòn đảo
坻	đảo
小岛	hòn đảo
小岛	đảo
屿	hòn đảo
屿	đảo
岛	hòn đảo
岛	đảo
岛屿	hòn đảo
岛屿	đảo
沚	hòn đảo
沚	đảo
渚	hòn đảo
渚	đảo
陼	hòn đảo
陼	đảo
约旦	Gióc-đa-ni
约旦河	Gióc-đa-ni
木星	Sao Mộc
木星	thần Jupiter
阿布奎基	Albuquerque
挪威	Na Uy
葛洪	Cát Hồng
过滤	mặt nạ
尼加拉瓜	Ni-ca-ra-goa
尼加拉瓜	Nicaragua
发觉	phát hiện
发觉	phát kiến
查出	phát hiện
查出	phát kiến
发现	phát hiện
发现	phát kiến
解密	giải mật mã
扒	bắt
扑	bốc
扒	bắt
扒	bắt
扑	bốc
巡	tuần
霖	lâm
霓	nghi
霓	nghi
乌兹别克斯坦标准时间	Giờ Chuẩn Uzbekistan
乌拉圭夏令时间	Giờ Mùa Hè Uruguay
乌拉圭标准时间	Giờ Chuẩn Uruguay
乌拉圭时间	Giờ Uruguay
图瓦卢时间	Giờ Tuvalu
奥斯卡金像奖	Giải Oscar
白矮星	sao lùn trắng
加逢	Gabon
加蓬	Gabon
州	châu
涉	thiệp
英迪拉·甘地	Indira Gandhi
间谍	gian diep
反斜線	sổ ngược
退格鍵	phím BACKSPACE (xoá lùi)
勃艮第	Bourgogne
科学家	nhà khoa học
词汇	từ vựng
字汇	từ vựng
语汇	từ vựng
词汇表	từ vựng
石榴	quả lựu
恰蒂斯加尔邦	Chhattisgarh
金丝雀	chim bạch yến
金丝雀	chim tước
良心	lương tâm
天良	lương tâm
炮	đại bác
火砲	đại bác
砲	đại bác
火炮	đại bác
大炮	đại bác
大砲	đại bác
6	6
三文鱼	thu
防己科	Họ Biển bức cát
水生	ở nước
水生	thuỷ cư
主席府	Phủ Chủ tịch
马来西亚行政区划	Các bang của Malaysia
赞比亚	Zambia
亚利桑那州	Arizona
欧洲议会	Nghị viện châu Âu
约翰·马克斯维尔·库切	John Maxwell Coetzee
屁	địt
放屁	địt
放气	địt
代	đại
新年	năm mới
新年	tết
UTC+3:30	UTC+3:30
乌克兰语	tiếng U-kren
乌克兰	Ukraina
泛神论	thuyết phiếm thần
书签	thẻ đánh dấu
醉	say rượu
赫梯文	Tiếng Hittite
马来西亚	Malaysia
膝	đầu gối
膝盖	đầu gối
獬	giải
珀斯	Perth
柯巴脂	copan
散射	tán xạ
圣文森特和格林纳丁斯	St. Vincent và Grenadines
土耳其	Thổ Nhĩ Kỳ
Norton Partition Magic	Partition Magic
继续战争	Chiến tranh Tiếp diễn
升	lít
混合器	máy xay
混合器	máy xay sinh tố
长度	chiều dài
天卫二	Umbriel
我	tôi
门	cửa
大门	cửa
门	cửa
梐	bẹ
臼齿	răng hàm
七月	tháng 7
七月	tháng bảy
7月	tháng 7
7月	tháng bảy
新喀里多尼亚	New Caledonia
L/100km	L/100km
印度河	Sông Ấn Độ
澳元	đô la Úc
䁛	coi
桌球	bi da
斯诺克	bi da
源	nguồn
乌戈·桑切斯	Hugo Sánchez
时态	giờ
亚塞拜然	Azerbaijan
亚塞拜然	Ai-déc-bai-gian
流产	hư thai
重庆	Trùng Khánh
公羊	cừu đực
历史	lịch sử
lìshǐ	lịch sử
历史	lịch sử
lìshǐ	lịch sử
锔	curi
胡姓	Hồ
岛	hòn đảo
岛	đảo
岛屿	hòn đảo
岛屿	đảo
杜英科	Họ Côm
有用	có ích
有用	có ích
有用	có ích
有用	có ích
克罗地亚	Croatia
蕨类	cây dương xỉ
袈裟	Cà-sa
天龙座	Con Rồng
小马座	Ngựa Nhỏ
现代化	hiện đại hóa
加号	dấu cộng đậm
机器人世界杯	RoboCup
塞提一世	Seti I
橡胶	cao su
橡皮	cao su
年轻	trẻ tuổi
年轻	trẻ
佛教	phật giáo
极权主义	chủ nghĩa toàn trị
皺紋	nhăn
物体	đồ vật
物体	vật thể
物件	đồ vật
物件	vật thể
Pursat Province	Pursat
巴林	Bahrain
僵尸	cương thi
妊神星	Haumea
嗡	óng
𢖺	nhác
亚洲	Châu Á
拉瓦锡	Antoine Lavoisier
嗣	tự
精油	tinh dầu
本质	bản chất
龙	rồng
再见	chào
8月	Thg 8
7月	Thg 7
6月	Thg 6
5月	Thg 5
巴哈马	Ba-ha-ma
巴哈马	Bahamas
电负性	độ âm điện
噒	rên
恅	làu
拉廊府	Tỉnh Ranong
壁虎	thằn lằn
壁虎	tắc kè
番茄酱	sốt cà chua
阿雅克肖	Ajaccio
列子	Liệt tử
犬	chó
獒	chó
狗	chó
慰	uý
埈	thoạ
5	5
6	6
传真	điện thư
传真	fax
奥尔特云	Đám mây Oort
加拿大人	người Ca-na-đa
吉林	Cát Lâm
所长	ưu điểm
威	uy
设计师	kiến trúc sư
建筑师	kiến trúc sư
髅	lâu
髅	vày
熑	mũi
熑	rim
共用	đều có
共用	có chung
分享	đều có
分享	có chung
分担	đều có
分担	có chung
共有	đều có
共有	có chung
分摊	đều có
分摊	có chung
墨水瓶	bình mực
墨水瓶	lọ mực
墨水池	bình mực
墨水池	lọ mực
担杖	đòn gánh
担挑	đòn gánh
扁担	đòn gánh
大希律王	Herod Đại đế
噂	ton
噀	sún
身体	mình
身体	thân thể
人体	mình
人体	thân thể
罗宾德拉纳特·泰戈尔	Rabindranath Tagore
我是犹太人	tôi là người Do thái
鸟	chim
鸟	con chim
雀	chim
雀	con chim
湄公河	Mê Kông
湄公河	sông Cửu Long
湄公	Mê Kông
湄公	sông Cửu Long
当且仅当	Tương đương logic
新处女公墓	Nghĩa trang Novodevichy
空间	không gian
空间	chỗ
俄国	Liên bang Nga
俄国	Nga
俄罗斯	Liên bang Nga
俄罗斯	Nga
俄罗斯联邦	Liên bang Nga
俄罗斯联邦	Nga
卢安达	Ru-an-đa
卢安达	Rwanda
卢旺达	Ru-an-đa
卢旺达	Rwanda
沙乌地阿拉伯	A-rập Xê-út
沙乌地阿拉伯	Ả Rập Saudi
沙特阿拉伯	A-rập Xê-út
沙特阿拉伯	Ả Rập Saudi
塞舌尔群岛	Seychelles
塞舌尔群岛	Xây-sen
婢	tì
𣆐	trưa
韩元	Won Hàn Quốc
辛巳	Tân Tỵ
壬午	Nhâm Ngọ
乙酉	Ất Dậu
癸未	Quý Mùi
甲申	Giáp Thân
科特迪瓦	Bờ Biển Ngà
科特迪瓦共和国	Bờ Biển Ngà
象牙海岸	Bờ Biển Ngà
德尔它-2运载火箭	Delta II
亚的斯亚贝巴	Addis Ababa
塞尔维亚第纳尔	Dinar Serbia
塞尔维亚第纳尔	Dinar Serbia
基里巴斯	Kiribati
巴塞罗那	Barcelona
托尼·布莱尔	Tony Blair
伊凡·亚历克塞维奇·蒲宁	Ivan Alekseyevich Bunin
复数	số phức
脸色	nước da
面色	nước da
顶针	cái đê
慕尼黑啤酒节	Lễ hội tháng Mười
贝宁	Bénin
僭主	bạo chúa
暴君	bạo chúa
僧	tăng
梞	cậy
脚	chân
饭馆	quán ăn
饭馆	nhà hàng
饭馆	nhà ăn
饭馆	tiệm ăn
餐厅	quán ăn
餐厅	nhà hàng
餐厅	nhà ăn
餐厅	tiệm ăn
餐馆	quán ăn
餐馆	nhà hàng
餐馆	nhà ăn
餐馆	tiệm ăn
饭店	quán ăn
饭店	nhà hàng
饭店	nhà ăn
饭店	tiệm ăn
吸血鬼	ma cà rồng
僵尸	ma cà rồng
白羊座	bạch dương
处女座	xử nữ
镰刀	liềm
约安书信叁	Thư thứ ba của Gioan
约翰三书	Thư thứ ba của Gioan
若望三书	Thư thứ ba của Gioan
儒达书信	Thư của Giuđa
犹达书	Thư của Giuđa
犹大书	Thư của Giuđa
季	quí
季	quí
孟	mạnh
亚历山大·格拉汉姆·贝尔	Alexander Graham Bell
2月	Baba
3月	Hator
收获	gặt
收获	thu hoạch
法兰西	Pháp
法兰西	nước Pháp
法国	Pháp
法国	nước Pháp
美国政治	Chính trị Hoa Kỳ
腛	óc
说一切有部	Thuyết nhất thiết hữu bộ
制品	sản phẩm
制品	hàng hóa
商品	sản phẩm
商品	hàng hóa
产品	sản phẩm
产品	hàng hóa
菲律宾	Philippines
一统	đoàn kết
使成一体	đoàn kết
合并	đoàn kết
归并	đoàn kết
打成一片	đoàn kết
撤并	đoàn kết
统	đoàn kết
融入	đoàn kết
炮	pháo
炭	than
炮	pháo
阮福保隆	Nguyễn Phúc Bảo Long
日	mặt trời
日头	mặt trời
太阳	mặt trời
马来熊	gấu chó
日光浴	tắm nắng
晒太阳	tắm nắng
太阳雨	mưa bóng mây
碱性	kiềm
碱性	chất
蝴蝶	ho diep
蝴蝶	buom buom
上	lên
丄	lên
霜	sương
朦朦胧胧	sương
Symbian OS	Symbian
海地	Ha-i-ti
海地	Haiti
奶	nái
奶	nái
朗姆酒	rum
朗姆酒	rượu rum
兰姆酒	rum
兰姆酒	rượu rum
莱姆酒	rum
莱姆酒	rượu rum
螉	ong
古罗马	La Mã
太平市	Thái Bình
CA	CA
合浦县	Hợp Phố
数	số
数字	số
数词	số
㖫	lừng
包衣	vỏ
外皮	vỏ
外稃	vỏ
稃	vỏ
糠	vỏ
颖	vỏ
造山纪	Kỷ Orosira
水田	ruộng lúa
稻田	ruộng lúa
红楼梦	Hồng lâu mộng
最小	tối thiểu
米德尔斯堡足球俱乐部	Middlesbrough F.C.
武士道	võ sĩ đạo
马克斯·普朗克	Max Planck
犊	con bê
小牛	con bê
在	tại
马丘比丘	Machu Picchu
联合国组织	Liên Hiệp Quốc
联合国组织	LHQ
大洋	đại dương
大洋	大洋
大海	đại dương
大海	大洋
洋	đại dương
洋	大洋
海	đại dương
海	大洋
海洋	đại dương
海洋	大洋
瀛	đại dương
瀛	大洋
瑙鲁	Nauru
阿列省	Allier
肝	gan
肝脏	gan
白色	bạch
地貌学	địa mạo học
瓦兹省	Oise
星期一	thứ hai
燥	táo
央	ương
夭	yểu
夭	yểu
夫	phu
夫	phu
对象库	thư viện đối tượng
对象库	thư viện sự vật
OAB	danh bạ ngoại tuyến
OAB 分发	sự phân phối OAB
OAB 分发点	điểm phân phối sổ danh bạ ngoại tuyến
化	hoá
如意郎君	bạch mã hoàng tử
白马王子	bạch mã hoàng tử
歪	quay
赫兹	Hz
公里	kilômét
米	mét
分米	đềximét
纳米比亚	Namibia
南京	Nam Kinh
摹	mò
摹	mò
大不列颠及北爱尔兰联合王国	Vương quốc Liên hiệp Anh và Bắc Ireland
联合国	Liên Hiệp Quốc
联合国	LHQ
珍妮佛·安妮斯顿	Jennifer Aniston
红	đỏ
援	viện
林峯	Raymond Lam
歌词	thơ tình
普罗文斯文	Tiếng Provençal cổ
教父3	Bố già phần III
永隆省	Vĩnh Long
凯文·米特尼克	Kevin Mitnick
马里奥·卡佩奇	Mario Capecchi
嚜	mút
瓦努阿图	Vanuatu
马上回来	Quay lại ngay
百丈怀海	Bách Trượng Hoài Hải
殪	ế
过山车	tàu lượn siêu tốc
空中飞车	tàu lượn siêu tốc
云霄飞车	tàu lượn siêu tốc
赤道	xích đạo
赤道	xích đạo
捐赠	tặng
裁剪	xén
交错线	gạch bóng chéo
报告文学	bài viết
吊床	cái võng
失语症	aphasia
灰姑娘	Lọ Lem
波茨坦公告	Tuyên bố Potsdam
臭氧	ozon
地拉那	Tirana
南美洲	Nam Mỹ
傅	phó
傅	phó
傅	phó
巴约讷	Bayonne
楮	dó
楮	dó
楱	táu
土耳其	Thổ Nhĩ Kỳ
新傣仂文数字	Chữ số Thái Lặc mới
辛酉	Tân Dậu
备忘录	giấy nhớ
伍迪·艾伦	Woody Allen
联合国安全理事会	Hội đồng Bảo an Liên Hiệp Quốc
尼日尔河	Sông Niger
内阁	nội các
俄式饺子	mằn thắn
用	bằng
三K党	Ku Klux Klan
泰米尔之虎	Những con Hổ giải phóng Tamil
泰米尔伊拉姆猛虎解放组织	Những con Hổ giải phóng Tamil
泰米尔猛虎组织	Những con Hổ giải phóng Tamil
猛虎组织	Những con Hổ giải phóng Tamil
祈使语气	mệnh lệnh cách
太比特	terabit
经济合作发展组织	Tổ chức Hợp tác và Phát triển Kinh tế
吉维克琴文	Tiếng Gwichʼin
古西文	Tiếng Gusii
印地文	Tiếng Hindi
夏威夷文	Tiếng Hawaii
海达文	Tiếng Haida
亚省	Alberta
亚伯达	Alberta
亚伯达省	Alberta
艾伯塔省	Alberta
艾伯塔	Alberta
艾省	Alberta
㖹	vồn
奥斯卡最佳女主角奖	Giải Oscar cho nữ diễn viên chính xuất sắc nhất
大斋期	Mùa Chay
狮子座	Sư Tử
铁山港区	Thiết Sơn Cảng
越南盾	Đồng Việt Nam
连结	kết nối
危地马拉格查尔	Quetzal Guatemala
福克兰群岛	Quần đảo Falkland
福克兰群岛	Quần đảo Falkland (Islas Malvinas)
福克兰群岛（马尔维纳斯群岛）	Quần đảo Falkland
福克兰群岛（马尔维纳斯群岛）	Quần đảo Falkland (Islas Malvinas)
密克罗尼西亚	Micronesia
莲花	liên
莲花	Họ Sen
莲花	hoa sen
莲	liên
莲	Họ Sen
莲	hoa sen
地瓜	khoai lang
番薯	khoai lang
奈及利亚	Nigeria
亚美亚	Avaya
菲律宾	Philippin
科威特	Kuwait
