'ad		1. (pron) Connacht form of agat	alt-of connacht
Tréimhse Iúrasach		1. (name) the Jurassic	topic-geology topic-paleontology
Tréimhse Neoiliteach		1. (name) the Neolithic Period	topic-archaeology topic-paleontology
Tríú Leabhar Bharúch		1. (name) 3 Baruch, the third book of Baruch of the Old Testament Apocrypha	masculine topic-bible topic-books-of-the-bible
Tríú Leabhar Easdras		1. (name) 3 Esdras, a book of the Old Testament of the Bible	judaism masculine topic-bible topic-books-of-the-bible topic-judaism
Tríú Leabhar na Macabaech		1. (name) 3 Maccabees, the third book of Maccabees of the Old Testament Apocrypha	judaism masculine topic-bible topic-books-of-the-bible topic-judaism
Tríú Litir Naomh Eoin		1. (name) 3 John, the antepenultimate book of the New Testament of the Bible, the third epistle of John	feminine topic-bible topic-books-of-the-bible
Trópaic an Ghabhair		1. (name) Tropic of Capricorn	feminine topic-geography
Trópaic an Phortáin		1. (name) Tropic of Cancer	feminine topic-geography
Tuaisceart na hÉireann		1. (name) North of Ireland<br />2. (name) alternative form of Tuaisceart Éireann (“Northern Ireland”)	alt-of alternative masculine
Tuaisceart Éireann		1. (name) Northern Ireland (a constituent country and province of the United Kingdom, situated in the northeastern part of the island of Ireland)	masculine topic-constituent-countries-of-the-united-kingdom topic-northern-ireland topic-places-in-the-united-kingdom
Tuirc		1. (name) Turkey (a country located in Eastern Thrace in Southeastern Europe and Anatolia in West Asia)	topic-countries-in-asia topic-countries-in-europe topic-turkey
Tuircis		1. (noun) the Turkish language	feminine topic-languages topic-turkey
Turcach		1. (adj) Turkish<br />2. (noun) Turk	masculine not-comparable
Tuscáin		1. (name) Tuscany (an administrative region of Italy, located north of Lazio and south of Emilia-Romagna)	topic-places-in-italy topic-regions-of-italy topic-tuscany,-italy
Tuscánach		1. (adj) Tuscan<br />2. (noun) Tuscan (person)	masculine not-comparable
Táin Bó Cúailnge		1. (name) Táin Bó Cúailnge	irish topic-irish-mythology
Téaváin		1. (name) Taiwan (a partly-recognized country in East Asia consisting of a main island and 167 smaller islands)<br />2. (name) Taiwan (an island between the Taiwan Strait and Philippine Sea in East Asia)	topic-countries-in-asia topic-islands topic-taiwan
Tíomór Thoir		1. (name) East Timor (a country in Southeast Asia occupying half the island of Timor)	masculine topic-countries-in-asia topic-east-timor
Tír Bhascach		1. (name) Basque Country (a cultural region that straddles the border of Spain and France, where the Basque language is traditionally spoken)<br />2. (name) Basque Country (an autonomous community in northern Spain)	topic-autonomous-communities-of-spain topic-basque-country,-spain topic-geographic-and-cultural-areas-of-france topic-geographic-and-cultural-areas-of-spain topic-places-in-france topic-places-in-spain
Tír Bheannaithe		1. (name) The Holy Land	
Tír Chonaill		1. (name) Tyrconnell (a kingdom in northwestern Ireland)<br />2. (name) synonym of Dún na nGall: Donegal (a county of Ireland)	feminine historical topic-counties-of-ireland topic-county-donegal,-ireland topic-places-in-ireland topic-polities
Tír Eoghain		1. (name) Tyrone (a county of Northern Ireland)	feminine topic-counties-of-northern-ireland topic-county-tyrone,-northern-ireland topic-places-in-northern-ireland
Tír Iosrael		1. (name) the Land of Israel	feminine topic-bible
Tír na mBascach		1. (name) synonym of Tír Bhascach:<br />2. (name) Basque Country (a cultural region that straddles the border of Spain and France, where the Basque language is traditionally spoken)<br />3. (name) Basque Country (an autonomous community in northern Spain)	feminine topic-autonomous-communities-of-spain topic-basque-country,-spain topic-geographic-and-cultural-areas-of-france topic-geographic-and-cultural-areas-of-spain topic-places-in-france topic-places-in-spain
Tír na n-Óg		1. (name) obsolete spelling of Tír na nÓg	alt-of obsolete
Tír na nÓg		1. (name) Tír na nÓg	irish topic-irish-mythology topic-mythological-locations
Tóga		1. (name) Togo (a country in West Africa)	masculine topic-countries-in-africa topic-togo
Tóibín		1. (name) a surname from Anglo-Norman	feminine masculine
Túdar		1. (noun) Tudor (person of Tudor family)	historical masculine
Túdarach		1. (adj) Tudor<br />2. (noun) Tudor (person of Tudor era)	masculine not-comparable topic-architecture usually
Túr		1. (name) Thor	masculine norse topic-norse-mythology
Túr Londan		1. (name) Tower of London	masculine topic-buildings topic-london topic-museums
U		1. (character) The eighteenth letter of the Irish alphabet, written in the Latin script.	letter uppercase
U-bholta		1. (noun) U-bolt	masculine
U-chruthach		1. (adj) U-shaped	
U-lúb		1. (noun) U-bend	feminine
Uachtarán		1. (noun) President (used as a title for the head of state of a republic)	masculine topic-law topic-occupations
Uaimh		1. (name) Navan (the county town of County Meath, Ireland)	topic-places-in-county-meath,-ireland topic-places-in-ireland topic-towns-in-county-meath,-ireland topic-towns-in-ireland
Uasal		1. (noun) Mister (as form of address)<br />2. (noun) Lord	
Uathach		1. (name) Uathach	irish topic-irish-mythology
Uganda		1. (name) Uganda (a country in East Africa)	masculine topic-countries-in-africa topic-uganda
Ugandach		1. (adj) Ugandan<br />2. (noun) Ugandan	masculine not-comparable
Uigingeach		1. (adj) Viking<br />2. (noun) Viking	masculine not-comparable
Uilliam		1. (name) a male given name from Proto-Germanic, equivalent to English William	masculine
Uimhreacha		1. (name) the Book of Numbers, the fourth of the Books of Moses in the Old Testament of the Bible, the fourth book in the Torah	feminine judaism plural topic-bible topic-books-of-the-bible topic-judaism
Uinseann		1. (name) a male given name, equivalent to English Vincent	masculine
Uinseannach		1. (adj) Vincentian<br />2. (noun) Vincentian	masculine not-comparable topic-roman-catholicism
Uladh		1. (name) genitive of Ulaidh	form-of genitive
Ulaidh		1. (name) Ulster (province of Ireland)<br />2. (name) Ulstermen	literary masculine plural
Ultach		1. (adj) of or from Ulster, Ultonian<br />2. (noun) native of Ulster, Ultonian, Ulsterman, Ulsterwoman	masculine not-comparable
Ultaibh		1. (name) dative of Ulaidh	archaic dative form-of
Ungthach		1. (name) the Anointed, the Messiah	judaism topic-christianity topic-judaism
Ungáir		1. (name) Hungary (a country in Central Europe; official name: Poblacht na hUngáire)	topic-countries-in-europe topic-hungary
Ungáire		1. (name) genitive of an Ungáir (“Hungary”)	form-of genitive
Ungáiris		1. (name) the Hungarian language	feminine topic-languages
Ungárach		1. (adj) Hungarian<br />2. (noun) Hungarian	masculine
Uragua		1. (name) Uruguay (a country in South America; official name: Poblacht Oirthearach Uragua)	masculine topic-countries-in-south-america topic-uruguay
Uraguach		1. (adj) Uruguayan<br />2. (noun) Uruguayan	masculine not-comparable
Ursalach		1. (adj) Ursuline<br />2. (noun) Ursuline	masculine not-comparable topic-roman-catholicism
Uí		1. (noun) genitive singular of Ó<br />2. (noun) nominative plural of Ó	form-of genitive masculine nominative plural singular
Uí Bhriain		1. (name) genitive of Ó Briain	form-of genitive masculine
Uí Cheallaigh		1. (name) genitive of Ó Ceallaigh	form-of genitive masculine
Uíbh		1. (noun) dative plural of Ó (“grandson”)	dative form-of masculine obsolete plural
Uíbh Fhailí		1. (name) Offaly (a county of Ireland)	masculine plural topic-counties-of-ireland topic-county-offaly,-ireland topic-places-in-ireland
Uíbh Ráthach		1. (name) Iveragh (A barony and peninsula in the south and west of County Kerry, Ireland)	masculine topic-peninsulas topic-places-in-county-kerry,-ireland topic-places-in-ireland
V		1. (character) The nineteenth letter of the Irish alphabet, written in the Latin script.	letter uppercase
V-bhloc		1. (noun) V-block	masculine topic-metallurgy
V-chruthach		1. (adj) V-shaped	
V-mhuineál		1. (noun) V-neck	masculine topic-clothing
VEID		1. (noun) HIV	masculine topic-viruses
Vaileite		1. (name) Valletta (the capital city of Malta)	feminine topic-cities-in-malta topic-national-capitals topic-places-in-malta
Vailintín		1. (name) Valentine<br />2. (name) a male given name from Latin	masculine topic-christianity
Valdach		1. (noun) Waldensian; (in the plural) Waldenses	masculine topic-christianity topic-people
Vallúinis		1. (name) the Walloon language	feminine topic-languages
Vallúnach		1. (adj) Walloon<br />2. (noun) Walloon	masculine not-comparable
Vallúnais		1. (name) the Walloon language	feminine topic-languages
Vandal		1. (noun) Vandal	historical masculine
Vanuatú		1. (name) Vanuatu (a country and archipelago of Melanesia in Oceania; official name: Poblacht Vanuatú)	masculine topic-countries-in-melanesia topic-islands topic-vanuatu
Vatacáin		1. (name) the Vatican	topic-christianity
Vatacáine		1. (name) genitive singular of Vatacáin<br />2. (adj) Vatican	form-of genitive singular
Vatacánach		1. (adj) Vatican	not-comparable topic-nationalities
Veindéach		1. (adj) Vendean<br />2. (noun) Vendean	masculine not-comparable
Veiniséala		1. (name) Venezuela (a country in South America)	feminine topic-countries-in-south-america topic-venezuela
Veiniséalach		1. (adj) Venezuelan<br />2. (noun) Venezuelan	masculine not-comparable
Veinéis		1. (name) Venice (the capital city of Veneto, Italy)<br />2. (name) Venice (a metropolitan city of Veneto, Italy)	feminine topic-cities-in-italy topic-cities-in-veneto,-italy topic-metropolitan-cities-of-italy topic-places-in-italy topic-places-in-veneto,-italy topic-regional-capitals-of-italy topic-venice
Veinéiseach		1. (adj) Venetian<br />2. (noun) Venetian	masculine not-comparable
Vicipéid		1. (name) Wikipedia	feminine
Victeoiria		1. (name) a female given name from Latin, equivalent to English Victoria	feminine
Victeoiriach		1. (adj) Victorian<br />2. (noun) Victorian	historical masculine
Vicífhoclóir		1. (name) Wiktionary	masculine topic-dictionaries topic-websites
Viseagotach		1. (adj) Visigothic<br />2. (noun) Visigoth	masculine not-comparable topic-history
Volaifis		1. (name) the Wolof language	feminine topic-languages
Vulgáid		1. (name) Vulgate	feminine topic-bible
Vulgáide		1. (name) genitive singular of Vulgáid	feminine form-of genitive singular
Véineas		1. (name) Venus (planet)<br />2. (name) Venus (Roman goddess)	feminine
Vín		1. (name) Vienna (the capital city of Austria)	feminine topic-cities-in-austria topic-national-capitals topic-places-in-austria topic-vienna
Vítneam		1. (name) Vietnam (a country in Southeast Asia)	masculine topic-countries-in-asia topic-vietnam
X-chrómasóm		1. (noun) X chromosome	masculine topic-genetics
X-chrómosóm		1. (noun) alternative form of X-chrómasóm	alt-of alternative masculine
X-gha		1. (noun) X-ray	masculine topic-energy topic-medicine
X-ghathach		1. (adj) X-ray (attributive)	
X-ghathaigh		1. (verb) to X-ray<br />2. (adj) vocative singular masculine of X-ghathach<br />3. (adj) genitive singular masculine of X-ghathach<br />4. (adj) dative singular feminine of X-ghathach	archaic dative feminine form-of genitive masculine singular transitive vocative
X-ghathaithe		1. (verb) past participle of X-ghathaigh<br />2. (noun) genitive singular of X-ghathú	form-of genitive masculine participle past singular
X-ghathuithe		1. (noun) plural of X-ghathú	form-of masculine plural
X-ghathú		1. (noun) verbal noun of X-ghathaigh<br />2. (noun) X-ray photograph (radiograph)	form-of masculine noun-from-verb
X-ghathú cíche		1. (noun) mammography	masculine topic-medicine
X-radaíocht		1. (noun) X-ray radiation, X-radiation	feminine topic-physics
Y		1. (character) A letter of the Latin alphabet, not used in Irish except in foreign words and scientific terminology	letter uppercase
Y-chruthach		1. (adj) Y-shaped	
Y-chrómasóm		1. (noun) Y chromosome	masculine topic-genetics
Y-chrómosóm		1. (noun) alternative form of Y-chrómasóm	alt-of alternative masculine
Zen		1. (name) Zen	masculine topic-buddhism
a Thiarna		1. (intj) Good Lord!	
a chairde		1. (phrase) dear (formal or informal way of addressing the recipients in a letter’s opening line)<br />EXAMPLE: A Phádraig agus a Mháire, a chairde,...: Dear Patrick and Mary,...<br />EXAMPLE: A chairde,...: Dear Sirs/Mesdames,...	
a chara		1. (phrase) dear (formal or informal way of addressing the recipient in a letter’s opening line)<br />EXAMPLE: A Phádraig, a chara,...: Dear Patrick,...<br />EXAMPLE: A chara,...: Dear Sir/Madam,...	
a chlog		1. (adv) o'clock<br />EXAMPLE: a haon a chlog: one o'clock<br />EXAMPLE: a dó a chlog: two o'clock	topic-times-of-day
a chéile		1. (pron) each other, one another	
a fhad is		1. (conj) as long as, while	
a fhios a bheith agat		1. (verb) to know (be certain or sure about (something); have knowledge of; be informed about)<br />EXAMPLE: Tá a fhios agam go bhfuil an ceart agam.: I know that I am right.<br />EXAMPLE: An raibh fios an scéil ag Seán?: Did John know about the matter?	
a ghoile a bhaint de dhuine		1. (verb) to spoil someone's appetite	
a lán		1. (noun) much, many, a lot<br />EXAMPLE: Tá a lán airgid aige.: He has a lot of money.<br />EXAMPLE: Bhí a lán daoine sa tseomra.: There were many people in the room.<br />EXAMPLE: Is fíor a lán den scéal.: Much of the story is true.<br />EXAMPLE: Shiúil sé a lán.: He walked a lot.<br />EXAMPLE: Síleann a lán againn go bhfuil tú go hálainn.: Many of us think you’re beautiful.	
a thiarcais		1. (intj) my goodness, good heavens	
a thuilleadh		1. (phrase) any more, no longer	
a'		1. (particle) contraction of an, used to form direct and indirect questions<br />EXAMPLE: Chonnaic sé cailín ag nigheachán i sruthán le cois an bhealaigh mhóir ⁊ chuir sé an tiománach síos ag fiafraighe di a’ bpósfadh sí é. […] Chuaidh an rí é féin síos annsin ⁊ d’fhiafraigh dhi a’ bpósfadh sí é.: He saw a girl washing in a stream by the roadside, and he sent his driver down to ask her if she would marry him. […] The king himself then went down, and asked her would she marry him.	abbreviation alt-of contraction nonstandard
a's		1. (conj) contraction of agus	abbreviation alt-of contraction
a-		1. (prefix) a- (not, without, opposite of)<br />2. (prefix) alternative form of ath- used before t	alt-of alternative morpheme
a-steach		1. (adv) obsolete spelling of isteach	alt-of obsolete
a/languages A to L		1. (det) his, its<br />EXAMPLE: a athair agus a mháthair: his father and mother<br />EXAMPLE: Chaill an t-éan a chleití.: The bird lost its feathers.<br />2. (det) her, its<br />EXAMPLE: a hathair agus a máthair: her father and mother<br />EXAMPLE: Bhris an mheaig a heiteog.: The magpie broke its wing.<br />3. (det) their<br />EXAMPLE: a n-athair agus a máthair: their father and mother<br />EXAMPLE: a dtithe: their houses<br />EXAMPLE: a n-ainmneacha: their names<br />4. (det) our<br />5. (det) your (plural)<br />6. (det) how (used with an abstract noun)<br />EXAMPLE: A ghéire a labhair sí!: How sharply she spoke!<br />EXAMPLE: A fheabhas atá sé!: How good it is!<br />7. (particle) introduces a direct relative clause, takes the independent form of an irregular verb<br />EXAMPLE: an fear a chuireann síol: the man who sows seed<br />EXAMPLE: an síol a chuireann an fear: the seed that the man sows<br />EXAMPLE: an síol a cuireadh: the seed that was sown<br />EXAMPLE: nuair a bhí mé óg: when I was young<br />EXAMPLE: an cat a d'ól an bainne: the cat that drank the milk<br />8. (particle) introduces an indirect relative clause<br />EXAMPLE: an bord a raibh leabhar air: the table on which there was a book<br />EXAMPLE: an fear a bhfuil a mhac ag imeacht: the man whose son is going away<br />9. (pron) all that, whatever<br />EXAMPLE: Sin a bhfuil ann.: That's all that is there.<br />EXAMPLE: An bhfuair tú a raibh uait?: Did you get all that you wanted?<br />EXAMPLE: Íocfaidh mé as a gceannóidh tú.: I will pay for whatever you buy.<br />10. (particle) introduces a vocative<br />EXAMPLE: A Dhia!: O God!<br />EXAMPLE: A dhuine uasail!: Sir!<br />EXAMPLE: Tar isteach, a Sheáin.: Come in, Seán.<br />EXAMPLE: A amadáin!: You fool!<br />11. (particle) introduces a numeral<br />EXAMPLE: a haon, a dó, a trí...: one, two, three...<br />EXAMPLE: Séamas a Dó: James the Second<br />EXAMPLE: bus a seacht: bus seven<br />12. (prep) to (used with verbal nouns)<br />EXAMPLE: síol a chur: to sow seed<br />EXAMPLE: uisce a ól: to drink water<br />EXAMPLE: an rud atá sé a scríobh: what he is writing<br />EXAMPLE: D’éirigh sé a chaint.: He rose to speak.<br />EXAMPLE: Téigh a chodladh.: Go to sleep.	connacht triggers-eclipsis triggers-h-prothesis triggers-lenition with-dative
ab		1. (noun) abbot<br />2. (particle) alternative form of ba (used in relative clauses before a vowel sound)<br />EXAMPLE: Fear maith ab ea é.: He was a good man.<br />EXAMPLE: buachaill ab áirde ná mo dheartháir: a boy (who was) taller than my brother	alt-of alternative masculine topic-christianity
aba		1. (noun) only used in ar aba<br />2. (noun) genitive singular of ab	form-of genitive masculine singular
ababú		1. (intj) heavens!	
ababúna		1. (intj) alternative form of ababú (“heavens!”)	alt-of alternative
abacais		1. (noun) inflection of abacas:<br />2. (noun) vocative/genitive singular<br />3. (noun) nominative/dative plural	dative form-of masculine nominative plural
abacas		1. (noun) abacus (calculating frame)	masculine topic-arithmetic
abach		1. (noun) entrails	literary masculine
abach a dhéanamh ar		1. (verb) to botch (something)	
abacht		1. (noun) abbacy	feminine topic-christianity topic-monasticism
abachta		1. (noun) genitive singular of abacht (“abbacy”)	feminine form-of genitive singular
abadh		1. (noun) variant genitive singular of ab (“abbot”)	form-of genitive masculine singular variant
abaid		1. (noun) alternative form of aibíd (“habit, religious dress”)	alt-of alternative feminine
abaide		1. (noun) genitive singular of abaid	feminine form-of genitive singular
abaidh		1. (adj) Munster form of aibí (“ripe”)	alt-of munster
abaidheacht		1. (noun) alternative form of aibíocht (“ripeness, maturity; quickness, cleverness, liveliness”)	alt-of alternative feminine
abaigh		1. (noun) vocative/genitive singular of abach<br />2. (verb) alternative form of aibigh (“ripen, mature”)	alt-of alternative ambitransitive masculine singular
abail		1. (adv) alternative form of bail	alt-of alternative
abair		1. (verb) to say, utter<br />EXAMPLE: amhrán a rá: to sing a song<br />EXAMPLE: Abair leis é.: Say it to him.<br />2. (verb) to mean, refer to<br />EXAMPLE: Ní tú a deirim.: I don’t mean you; I’m not referring to you.<br />3. (verb) say, suppose (to state for illustrative or approximate purposes)<br />EXAMPLE: abair is nach mbeadh sé ann: supposing he weren’t there<br />EXAMPLE: fiche punt, abair: twenty pounds, say	
abair le		1. (verb) to tell (somebody something; somebody to do something)<br />EXAMPLE: Dúirt mé an fhírinne leis.: I told him the truth.<br />EXAMPLE: Abair léi teacht anseo.: Tell her to come here.	irregular verb
abairt		1. (noun) sentence<br />2. (noun) expression<br />3. (noun) saying, adage, phrase<br />4. (noun) manner, practice<br />5. (noun) feat	feminine
abairt scoilte		1. (noun) cleft sentence	feminine topic-linguistics
abairte		1. (noun) genitive singular of abairt	feminine form-of genitive singular
abairteach		1. (adj) alternative form of abartha (“given to repartee”)	alt-of alternative
abairtear		1. (verb) imperative autonomous of abair (“say, utter; mean, refer to”)	autonomous form-of imperative
abairtí		1. (noun) plural of abairt<br />EXAMPLE: Tá leis na habairtí "na Fórsaí" agus "scéim phinsin" na bríonna céanna atá leis na habairtí sin fé seach sa Phríomh-Acht.: The expressions "the Forces" and "pension scheme" have the same meanings as those expressions respectively have in the Principal Act.	feminine form-of plural
abairtín		1. (noun) phrase<br />EXAMPLE: 2010, Opinion No 6/2010 (pursuant to Article 322 TFEU) on a proposal for a regulation of the European Parliament and of the Council on the Financial Regulation applicable to the general budget of the European Union, § 99b (Irish version): The Court must have the ability to conduct any audit procedures deemed necessary to form its opinion. Furthermore, the phrase ‘shall rely’ should be modified to become ‘may rely’ so that the Court is not stripped, by the Financial Regulation, of its discretion. The legal thrust of the phrase must allow the Court to rely on the work of others without forcing it to do so. (English version)<br />EXAMPLE: June 2014, Donncha Ó hÉallaithe, “Aprés na dToghchán”, Beo! volume 158: Bad enough, and to top off the misfortune, the leaflet about Matt Carthy that was scattered among the houses here in the Connemara Gaeltacht was, apart from a single stray phrase, in English.	masculine
abar		1. (noun) boggy ground, morass	masculine topic-geography
abarach		1. (adj) boggy, muddy, sloughy	
abarlach		1. (noun) slovenly person, slut, slattern	feminine topic-people
abartaí		1. (verb) inflection of abair (“say, utter; mean, refer to”):<br />2. (verb) past habitual dependent autonomous<br />3. (verb) past subjunctive autonomous	archaic autonomous dependent form-of habitual munster past subjunctive
abartha		1. (adj) given to repartee	
abarthach		1. (adj) alternative form of abartha (“given to repartee”)	alt-of alternative
abarthacha		1. (adj) nominative/vocative/dative/strong genitive plural of abarthach	dative form-of genitive nominative plural strong vocative
abarthacht		1. (noun) wittiness (in repartee)	feminine
abarthaigh		1. (adj) inflection of abarthach (“given to repartee”):<br />2. (adj) vocative/genitive singular masculine<br />3. (adj) dative singular feminine	archaic dative feminine form-of singular
abarthar		1. (verb) present indicative/subjunctive dependent autonomous of abair (“say, utter; mean, refer to”)	archaic autonomous dependent form-of indicative munster present subjunctive
abarthaí		1. (adj) inflection of abarthach (“given to repartee”):<br />2. (adj) genitive singular feminine<br />3. (adj) comparative degree	comparative feminine form-of genitive singular
abartá		1. (verb) inflection of abair (“say, utter; mean, refer to”):<br />2. (verb) second-person singular past habitual dependent<br />3. (verb) second-person singular past subjunctive	archaic dependent form-of habitual munster past second-person singular subjunctive
abaí		1. (noun) plural of ab (“abbot”)	form-of masculine plural
abb		1. (noun) obsolete spelling of ab (“abbot”)	alt-of masculine obsolete
abdhaine		1. (noun) synonym of abacht (“abbacy”)	feminine rare topic-christianity topic-monasticism
abduchtach		1. (adj) abducens	not-comparable topic-anatomy
abh		1. (noun) obsolete form of abhainn (“river”)	alt-of feminine obsolete
abha		1. (noun) alternative form of abhainn (“river”)	alt-of alternative feminine
abhac		1. (noun) dwarf, midget<br />2. (noun) dwarf star	masculine
abhac bán		1. (noun) white dwarf (star)	masculine topic-stars
abhac dearg		1. (noun) red dwarf (small star)	masculine topic-stars
abhac donn		1. (noun) brown dwarf (star)	masculine topic-stars
abhac dubh		1. (noun) black dwarf (stellar remnant)	masculine topic-astronomy topic-stars
abhacréalta		1. (noun) dwarf star	feminine topic-stars
abhacréaltaí		1. (noun) plural of abhacréalta (“dwarf star”)	feminine form-of plural
abhacád		1. (noun) avocado	masculine topic-fruits topic-laurel-family-plants
abhacáid		1. (noun) inflection of abhacád:<br />2. (noun) vocative/genitive singular<br />3. (noun) nominative/dative plural	dative form-of masculine nominative plural
abhadh		1. (noun) trepanning<br />2. (noun) ensnaring<br />3. (noun) a kind of purse seine used in fishing	kerry masculine
abhaic		1. (noun) inflection of abhac:<br />2. (noun) vocative/genitive singular<br />3. (noun) nominative/dative plural	dative form-of masculine nominative plural
abhaic dhubha		1. (noun) nominative/dative plural of abhac dubh (“black dwarf”)	dative form-of masculine nominative plural
abhaic dhuibh		1. (noun) vocative/genitive singular of abhac dubh	masculine
abhaicín		1. (noun) manikin, runt	masculine
abhaicín gairdín		1. (noun) garden gnome	masculine
abhail		1. (adv) alternative form of bail	alt-of alternative
abhaile		1. (adv) home (goal-oriented), homewards	
abhaill		1. (noun) apple tree	feminine topic-pome-fruits
abhainn		1. (noun) river<br />EXAMPLE: Níl aon abhainn san oileán.: There’s no river on the island.<br />EXAMPLE: Dá dtéiteá go Gaillimh inné, d’fhéadfá a dhul isteach an abhainn go réidh, mar nach raibh aon tsruth mór.: If you had gone to Galway yesterday, you would have easily been able to go up the river, since there wasn’t a very strong current.<br />EXAMPLE: Bhí an abhainn reoite.: The river was frozen.<br />EXAMPLE: bruach na haibhne: the riverbank<br />EXAMPLE: Bhí na haibhneacha uilig reoite.: All the rivers were frozen.<br />EXAMPLE: Dhá mbeadh an t-airgead againn, ghabhfadh muid do haibhneacha Chill Airne.: If we had the money, we would go to the rivers of Killarney.	feminine topic-bodies-of-water topic-landforms
abhaitis		1. (noun) alternative form of amhtais (“ungainly person”)	alt-of alternative feminine
abhall		1. (noun) alternative form of abhaill (“apple-tree”)	alt-of alternative feminine
abhallghort		1. (noun) alternative form of úllord (“orchard”)	alt-of alternative masculine
abhann		1. (noun) genitive singular/plural of abha<br />2. (noun) genitive singular of abhainn<br />3. (noun) Aran form of abhainn (“river”)	alt-of aran feminine form-of genitive plural singular
abhanta		1. (noun) variant plural of abhainn	feminine form-of plural variant
abhantrach		1. (noun) river basin	feminine topic-landforms
abhcach		1. (adj) dwarf, dwarfish, pygmy	
abhcóid		1. (noun) alternative form of abhcóir (“scold”)	alt-of alternative feminine
abhcóide		1. (noun) advocate, counsel	masculine topic-law topic-occupations
abhcóideacht		1. (noun) advocacy	feminine
abhcóidíocht		1. (noun) alternative form of abhcóideacht (“advocacy”)	alt-of alternative feminine
abhcóir		1. (noun) scold	masculine
abhla		1. (noun) genitive singular of abhaill	feminine form-of genitive singular
abhlach		1. (adj) of (many) apple trees	
abhlacha		1. (adj) nominative/vocative/dative/strong genitive plural of abhlach (“of (many) apple trees”)<br />2. (noun) plural of abhaill (“apple tree”)	dative feminine form-of genitive nominative plural strong vocative
abhlann		1. (noun) communion wafer, altar bread	feminine topic-christianity
abhlord		1. (noun) alternative form of úllord (“orchard”)	alt-of alternative masculine
abhlóir		1. (noun) buffoon, fool; boor<br />2. (noun) confused, bewildered, person	masculine
abhlóireacht		1. (noun) clowning, playing the fool; buffoonery	feminine
abhna		1. (noun) variant genitive singular of abhainn	feminine form-of genitive singular variant
abhra		1. (noun) alternative form of fabhra (“eyelash; eyebrow”)	alt-of alternative masculine
abhrais		1. (noun) vocative/genitive singular of abhras	masculine singular
abhraiseach		1. (noun) spinner (of wool)	feminine topic-knitting topic-people
abhraiseacha		1. (noun) nominative/vocative/dative plural of abhraiseach (“spinner”)	dative feminine form-of nominative plural vocative
abhraisí		1. (noun) genitive singular of abhraiseach	feminine form-of genitive singular
abhras		1. (noun) handiwork (carding, spinning, etc.)<br />2. (noun) yarn<br />3. (noun) gainful work; benefit, product<br />4. (noun) material, substance	masculine
abhrasóir		1. (noun) synonym of abhraiseach (“spinner”)	masculine
abhrasóirí		1. (noun) plural of abhrasóir (“spinner”)	form-of masculine plural
abhrasóra		1. (noun) genitive singular of abhrasóir (“spinner”)	form-of genitive masculine singular
abhrán		1. (noun) alternative form of amhrán (“song”)	alt-of alternative masculine
abhus		1. (adv) here (in, on, or at this place)<br />2. (adv) on this side<br />3. (adv) in this life	
abhó		1. (intj) alas! woe is me!	
abhóg		1. (noun) bound, jump<br />2. (noun) bad impulse<br />3. (noun) tall story<br />4. (noun) banter	feminine in-plural
abhógach		1. (adj) bounding<br />2. (adj) unreliable	
abhógacht		1. (noun) jumping about, playing tricks	feminine
abhógadh		1. (noun) synonym of abhógacht (“(act of) jumping about, playing tricks”)	masculine
abhógaí		1. (noun) bounder, trickster<br />2. (adj) inflection of abhógach (“bounding; unreliable”):<br />3. (adj) genitive singular feminine<br />4. (adj) comparative degree	comparative feminine form-of genitive masculine singular
abhóiséad		1. (noun) avocet	masculine topic-shorebirds
ablach		1. (noun) carcass; carrion<br />2. (noun) hulk (of person)<br />3. (adj) fat, soft	masculine
abláil		1. (noun) botching	feminine
ablálaí		1. (noun) botcher	masculine topic-people
abomasam		1. (noun) abomasum	masculine
abra		1. (verb) present subjunctive analytic of abair	analytic archaic form-of munster present subjunctive
abracha		1. (noun) variant plural of abar	form-of masculine plural variant
abracht		1. (noun) boggy place	feminine topic-geography
abrad		1. (verb) first-person singular present subjunctive of abair	archaic first-person form-of munster present singular subjunctive
abradh		1. (verb) inflection of abair:<br />2. (verb) third-person singular imperative<br />3. (verb) past habitual dependent analytic<br />4. (verb) past subjunctive analytic	analytic archaic dependent form-of habitual imperative munster past singular subjunctive third-person
abraid		1. (verb) inflection of abair:<br />2. (verb) third-person plural present indicative dependent<br />3. (verb) third-person plural present subjunctive	archaic dependent form-of indicative munster plural present subjunctive third-person
abraidh		1. (verb) second-person plural imperative of abair	form-of imperative literary munster plural second-person
abraidís		1. (verb) inflection of abair:<br />2. (verb) third-person plural imperative<br />3. (verb) third-person plural past habitual dependent<br />4. (verb) third-person plural past subjunctive	archaic dependent form-of habitual imperative munster past plural subjunctive third-person
abraigí		1. (verb) second-person plural imperative of abair	form-of imperative plural second-person
abraim		1. (verb) inflection of abair:<br />2. (verb) first-person singular imperative<br />3. (verb) first-person singular present indicative dependent	archaic dependent first-person form-of imperative indicative munster present singular
abraimid		1. (verb) first-person plural present indicative/subjunctive dependent of abair	archaic dependent first-person form-of indicative munster plural present subjunctive
abraimis		1. (verb) inflection of abair:<br />2. (verb) first-person plural imperative<br />3. (verb) first-person plural past habitual dependent<br />4. (verb) first-person plural past subjunctive	archaic dependent first-person form-of habitual imperative munster past plural subjunctive
